cust,date,region
a100000004,1/01/2018,House Ads
a100000013,1/01/2018,Push
a100000022,1/01/2018,Facebook
a100000025,1/01/2018,Instagram
a100000029,1/01/2018,House Ads
a100000030,1/01/2018,House Ads
a100000031,1/01/2018,House Ads
a100000032,1/01/2018,House Ads
a100000033,1/01/2018,House Ads
a100000034,1/01/2018,House Ads
a100000035,1/01/2018,House Ads
a100000036,1/01/2018,House Ads
a100000037,1/01/2018,House Ads
a100000038,1/01/2018,House Ads
a100000039,1/01/2018,House Ads
a100000040,1/01/2018,House Ads
a100000041,1/01/2018,House Ads
a100000042,1/01/2018,House Ads
a100000043,1/01/2018,House Ads
a100000044,1/01/2018,House Ads
a100000045,1/02/2018,House Ads
a100000046,1/02/2018,House Ads
a100000047,1/02/2018,House Ads
a100000048,1/02/2018,House Ads
a100000049,1/02/2018,House Ads
a100000050,1/02/2018,House Ads
a100000050,1/01/2018,House Ads
a100000051,1/02/2018,House Ads
a100000051,1/01/2018,Push
a100000052,1/02/2018,House Ads
a100000052,1/01/2018,House Ads
a100000053,1/02/2018,House Ads
a100000053,1/01/2018,House Ads
a100000054,1/02/2018,House Ads
a100000054,1/01/2018,House Ads
a100000055,1/02/2018,House Ads
a100000055,1/01/2018,Push
a100000056,1/02/2018,House Ads
a100000056,1/01/2018,Facebook
a100000057,1/02/2018,House Ads
a100000057,1/01/2018,Instagram
a100000058,1/02/2018,House Ads
a100000058,1/01/2018,Instagram
a100000059,1/02/2018,House Ads
a100000059,1/01/2018,Facebook
a100000060,1/02/2018,House Ads
a100000060,1/01/2018,House Ads
a100000061,1/02/2018,House Ads
a100000061,1/01/2018,House Ads
a100000062,1/03/2018,House Ads
a100000062,1/01/2018,House Ads
a100000063,1/03/2018,House Ads
a100000063,1/01/2018,House Ads
a100000064,1/03/2018,House Ads
a100000064,1/01/2018,Push
a100000065,1/03/2018,House Ads
a100000065,1/01/2018,House Ads
a100000066,1/03/2018,House Ads
a100000066,1/01/2018,House Ads
a100000067,1/03/2018,House Ads
a100000068,1/03/2018,House Ads
a100000069,1/03/2018,House Ads
a100000070,1/03/2018,House Ads
a100000071,1/03/2018,House Ads
a100000072,1/03/2018,House Ads
a100000073,1/03/2018,House Ads
a100000074,1/01/2018,Instagram
a100000075,1/03/2018,House Ads
a100000076,1/03/2018,House Ads
a100000077,1/03/2018,House Ads
a100000078,1/03/2018,House Ads
a100000079,1/03/2018,House Ads
a100000080,1/04/2018,House Ads
a100000081,1/04/2018,House Ads
a100000082,1/04/2018,House Ads
a100000083,1/04/2018,House Ads
a100000084,1/01/2018,Facebook
a100000085,1/04/2018,House Ads
a100000086,1/04/2018,House Ads
a100000087,1/04/2018,House Ads
a100000088,1/04/2018,House Ads
a100000089,1/04/2018,House Ads
a100000090,1/04/2018,House Ads
a100000091,1/04/2018,House Ads
a100000092,1/04/2018,House Ads
a100000093,1/04/2018,House Ads
a100000094,1/04/2018,House Ads
a100000095,1/04/2018,House Ads
a100000096,1/05/2018,House Ads
a100000097,1/05/2018,House Ads
a100000098,1/05/2018,House Ads
a100000099,1/05/2018,House Ads
a100000099,1/04/2018,House Ads
a100000100,1/05/2018,House Ads
a100000100,1/04/2018,House Ads
a100000101,1/05/2018,House Ads
a100000101,1/04/2018,House Ads
a100000102,1/05/2018,House Ads
a100000102,1/04/2018,House Ads
a100000103,1/05/2018,House Ads
a100000103,1/04/2018,House Ads
a100000104,1/05/2018,House Ads
